RecordID,InputAddress,City,State,Zip,Latitude,Longitude
1,515 E Peltason Dr,Irvine,CA,92617,33.642963,-117.836463
2,4 Alcott Ct,Irvine,CA,92617,33.640275,-117.841219
3,16 Joyce Ct,Irvine,CA,92617,33.634868,-117.841251
4,11 Murasaki St,Irvine,CA,92617,33.640608,-117.835352
5,10 Whistler Ct,Irvine,CA,92617,33.635299,-117.840373
6,25 Harvey Ct,Irvine,CA,92617,33.636319,-117.842609
7,18 Murasaki St,Irvine,CA,92617,33.64048,-117.834396
8,20 Newton Ct,Irvine,CA,92617,33.638972,-117.839477
9,26 McClintock Ct,Irvine,CA,92617,33.634736,-117.840604
10,4 Gibbs Ct,Irvine,CA,92617,33.638348,-117.84366
11,26 Whistler Ct,Irvine,CA,92617,33.635755,-117.840366
12,20 Whitman Ct,Irvine,CA,92617,33.636301,-117.841181
13,16 Whitman Ct,Irvine,CA,92617,33.636547,-117.841026
14,22 Young,Irvine,CA,92617,33.637222,-117.841091
15,21 Harvey Ct,Irvine,CA,92617,33.636431,-117.842275
16,40 Gabrielino Dr,Irvine,CA,92617,33.64052,-117.83605
17,14 Gibbs Ct,Irvine,CA,92617,33.63811,-117.842592
18,67 Whitman Ct,Irvine,CA,92617,33.637096,-117.838402
19,26 Young,Irvine,CA,92617,33.637017,-117.841442
20,20 Alcott Ct,Irvine,CA,92617,33.639584,-117.841296
21,7 Gibbs Ct,Irvine,CA,92617,33.63863,-117.844072
22,10 Fuertes,Irvine,CA,92617,33.639814,-117.834447
23,17 Harvey Ct,Irvine,CA,92617,33.636522,-117.842553
24,3 Alcott Ct,Irvine,CA,92617,33.639905,-117.841701
25,24 Alcott Ct,Irvine,CA,92617,33.639534,-117.841356
26,30 Perkins Ct,Irvine,CA,92617,33.639789,-117.838579
27,1 Virgil Ct,Irvine,CA,92617,33.638014,-117.838066
28,29 Murasaki St,Irvine,CA,92617,33.639717,-117.833649
29,21 Murasaki St,Irvine,CA,92617,33.640116,-117.834499
30,7 Virgil Ct,Irvine,CA,92617,33.638289,-117.837748
31,55 Schubert Ct,Irvine,CA,92617,33.642081,-117.837962
32,6 Fuertes,Irvine,CA,92617,33.639941,-117.834788
33,73 Whitman Ct,Irvine,CA,92617,33.636707,-117.837898
34,5 Owen Ct,Irvine,CA,92617,33.639012,-117.83841
35,60 Whitman Ct,Irvine,CA,92617,33.637323,-117.838711
36,14 Joyce Ct,Irvine,CA,92617,33.634811,-117.841419
37,4 Virgil Ct,Irvine,CA,92617,33.638314,-117.838416
38,14 Dickens Ct,Irvine,CA,92617,33.63909,-117.842502
39,6 Gibbs Ct,Irvine,CA,92617,33.638562,-117.843668
40,19 Dickens Ct,Irvine,CA,92617,33.638594,-117.842428
41,8 Blake Ct,Irvine,CA,92617,33.640479,-117.842079
42,12 Blake Ct,Irvine,CA,92617,33.640432,-117.84235
43,10 Thompson Ct,Irvine,CA,92617,33.640754,-117.839547
44,38 Gabrielino Dr,Irvine,CA,92617,33.64052,-117.83605
45,12 Handel Ct,Irvine,CA,92617,33.635082,-117.84183
46,3 Twain,Irvine,CA,92617,33.640305,-117.83556
47,14 Russell Ct,Irvine,CA,92617,33.641542,-117.839615
48,5 Murasaki St,Irvine,CA,92617,33.640863,-117.835916
49,1 Zola Ct,Irvine,CA,92617,33.637257,-117.837583
50,2 Owen Ct,Irvine,CA,92617,33.639194,-117.839064
51,7 Dickens Ct,Irvine,CA,92617,33.639214,-117.843638
52,11 Fuertes,Irvine,CA,92617,33.639466,-117.8346
53,18 Alcott Ct,Irvine,CA,92617,33.639677,-117.841166
54,127 Schubert Ct,Irvine,CA,92617,33.642357,-117.838936
55,19 Murasaki St,Irvine,CA,92617,33.640185,-117.834678
56,1 Alcott Ct,Irvine,CA,92617,33.639975,-117.84167
57,31 Murasaki St,Irvine,CA,92617,33.639619,-117.83348
58,99 Schubert Ct,Irvine,CA,92617,33.642113,-117.839299
59,8 Virgil Ct,Irvine,CA,92617,33.638498,-117.838238
60,125 Schubert Ct,Irvine,CA,92617,33.642204,-117.838692
61,12 Curie Ct,Irvine,CA,92617,33.639575,-117.842395
62,57 Schubert Ct,Irvine,CA,92617,33.642115,-117.838044
63,11 Virgil Ct,Irvine,CA,92617,33.638377,-117.837462
64,103 Schubert Ct,Irvine,CA,92617,33.64193,-117.839516
65,24 Perkins Ct,Irvine,CA,92617,33.639669,-117.839159
66,93 Schubert Ct,Irvine,CA,92617,33.642025,-117.839691
67,22 McClintock Ct,Irvine,CA,92617,33.634661,-117.840814
68,81 Schubert Ct,Irvine,CA,92617,33.642338,-117.839439
69,48 Schubert Ct,Irvine,CA,92617,33.641809,-117.83819
70,16 Eliot Ct,Irvine,CA,92617,33.635575,-117.841686
71,24 Russell Ct,Irvine,CA,92617,33.641112,-117.840093
72,12 Frost,Irvine,CA,92617,33.639255,-117.834745
73,14 Thompson Ct,Irvine,CA,92617,33.640606,-117.839867
74,14 Murasaki St,Irvine,CA,92617,33.640665,-117.834723
75,1 Twain,Irvine,CA,92617,33.640457,-117.83554
76,1 Murasaki St,Irvine,CA,92617,33.641073,-117.836197
77,23 Murasaki St,Irvine,CA,92617,33.640004,-117.834309
78,18 Fuertes,Irvine,CA,92617,33.639514,-117.833806
79,12 Dickens Ct,Irvine,CA,92617,33.639162,-117.842638
80,12 Joyce Ct,Irvine,CA,92617,33.634774,-117.841589
81,24 Harvey Ct,Irvine,CA,92617,33.636717,-117.842015
82,22 Perkins Ct,Irvine,CA,92617,33.639752,-117.839396
83,18 Joyce Ct,Irvine,CA,92617,33.634945,-117.841089
84,5 Dickens Ct,Irvine,CA,92617,33.639133,-117.843506
85,34 Gabrielino Dr,Irvine,CA,92617,33.64052,-117.83605
86,8 Owen Ct,Irvine,CA,92617,33.639404,-117.838633
87,61 Schubert Ct,Irvine,CA,92617,33.641842,-117.83947
88,24 Mendel Ct,Irvine,CA,92617,33.639649,-117.839873
89,14 Eliot Ct,Irvine,CA,92617,33.635515,-117.841862
90,12 Owen Ct,Irvine,CA,92617,33.6395,-117.838304
91,20 Perkins Ct,Irvine,CA,92617,33.639924,-117.839459
92,22 Whistler Ct,Irvine,CA,92617,33.635683,-117.840663
93,77 Whitman Ct,Irvine,CA,92617,33.636414,-117.838081
94,14 Newton Ct,Irvine,CA,92617,33.63905,-117.839806
95,26 Los Trancos Dr,Irvine,CA,92617,33.637546,-117.84297
96,2 Urey Ct,Irvine,CA,92617,33.638286,-117.83904
97,6 Perkins Ct,Irvine,CA,92617,33.640108,-117.838364
98,5 Whistler Ct,Irvine,CA,92617,33.63542,-117.839973
99,5 Alcott Ct,Irvine,CA,92617,33.639842,-117.841746
100,16 Harvey Ct,Irvine,CA,92617,33.636937,-117.842641
101,8 Thompson Ct,Irvine,CA,92617,33.640754,-117.839373
102,6 Alcott Ct,Irvine,CA,92617,33.640209,-117.841156
103,15 Virgil Ct,Irvine,CA,92617,33.638444,-117.837326
104,2 Twain,Irvine,CA,92617,33.640403,-117.835019
105,28 Young,Irvine,CA,92617,33.63684,-117.841368
106,6 Dickens Ct,Irvine,CA,92617,33.639555,-117.843286
107,15 Zola Ct,Irvine,CA,92617,33.637797,-117.836892
108,27 Harvey Ct,Irvine,CA,92617,33.636196,-117.842554
109,7 Owen Ct,Irvine,CA,92617,33.639063,-117.838251
110,10 Russell Ct,Irvine,CA,92617,33.641556,-117.839264
111,10 McClintock Ct,Irvine,CA,92617,33.634468,-117.841268
112,17 Fuertes,Irvine,CA,92617,33.639248,-117.834097
113,139 Schubert Ct,Irvine,CA,92617,33.642262,-117.838959
114,109 Schubert Ct,Irvine,CA,92617,33.641968,-117.839706
115,9 Zola Ct,Irvine,CA,92617,33.637596,-117.837129
116,15 Harvey Ct,Irvine,CA,92617,33.636563,-117.842683
117,7 Fuertes,Irvine,CA,92617,33.639569,-117.834939
118,14 Whistler Ct,Irvine,CA,92617,33.635174,-117.840659
119,76 Whitman Ct,Irvine,CA,92617,33.636475,-117.838058
120,18 Virgil Ct,Irvine,CA,92617,33.638766,-117.83757
121,24 Dickens Ct,Irvine,CA,92617,33.638505,-117.841896
122,6 Virgil Ct,Irvine,CA,92617,33.638433,-117.838356
123,18 Dickens Ct,Irvine,CA,92617,33.638938,-117.842185
124,18 Whitman Ct,Irvine,CA,92617,33.636405,-117.841226
125,11 Dickens Ct,Irvine,CA,92617,33.638775,-117.842898
126,18 Perkins Ct,Irvine,CA,92617,33.640109,-117.839418
127,2 Gibbs Ct,Irvine,CA,92617,33.638157,-117.843701
128,44 Schubert Ct,Irvine,CA,92617,33.641667,-117.838216
129,16 Handel Ct,Irvine,CA,92617,33.6352,-117.8415
130,3 Murasaki St,Irvine,CA,92617,33.640947,-117.83608
131,131 Schubert Ct,Irvine,CA,92617,33.642178,-117.838646
132,20 Fuertes,Irvine,CA,92617,33.639432,-117.833664
133,5 Zola Ct,Irvine,CA,92617,33.637389,-117.837321
134,16 Frost,Irvine,CA,92617,33.639133,-117.834423
135,9 Murasaki St,Irvine,CA,92617,33.640745,-117.835532
136,17 Murasaki St,Irvine,CA,92617,33.640278,-117.834854
137,25 Whistler Ct,Irvine,CA,92617,33.635779,-117.84021
138,1 Russell Ct,Irvine,CA,92617,33.641095,-117.838799
139,28 Urey Ct,Irvine,CA,92617,33.637562,-117.841339
140,14 Handel Ct,Irvine,CA,92617,33.635134,-117.841668
141,6 Frost,Irvine,CA,92617,33.639369,-117.835266
142,10 Twain,Irvine,CA,92617,33.639561,-117.835423
143,3 Owen Ct,Irvine,CA,92617,33.638963,-117.83857
144,4 Thompson Ct,Irvine,CA,92617,33.64090,-117.83907
145,6 Blake Ct,Irvine,CA,92617,33.640451,-117.842004
146,4 Fuertes,Irvine,CA,92617,33.639994,-117.83497
147,71 Whitman Ct,Irvine,CA,92617,33.63689,-117.838097
148,7 Russell Ct,Irvine,CA,92617,33.641135,-117.839338
149,1 Owen Ct,Irvine,CA,92617,33.638888,-117.838751
150,24 Young,Irvine,CA,92617,33.637199,-117.841335
151,5 Twain,Irvine,CA,92617,33.640108,-117.835558
152,10 Murasaki St,Irvine,CA,92617,33.640867,-117.835023
153,26 Harvey Ct,Irvine,CA,92617,33.63656,-117.841926
154,4 Blake Ct,Irvine,CA,92617,33.64042,-117.841909
155,10 Gibbs Ct,Irvine,CA,92617,33.638202,-117.842969
156,12 Thompson Ct,Irvine,CA,92617,33.640741,-117.839753
157,28 Los Trancos Dr,Irvine,CA,92617,33.637343,-117.842985
158,68 Whitman Ct,Irvine,CA,92617,33.637047,-117.838387
159,8 Twain,Irvine,CA,92617,33.639737,-117.835276
160,101 Gabrielino Dr,Irvine,CA,92617,33.64209,-117.837135
161,8 Gibbs Ct,Irvine,CA,92617,33.638205,-117.843139
162,135 Schubert Ct,Irvine,CA,92617,33.642208,-117.838478
163,2 Thompson Ct,Irvine,CA,92617,33.640793,-117.838864
164,18 Gibbs Ct,Irvine,CA,92617,33.637872,-117.842354
165,15 Frost,Irvine,CA,92617,33.638855,-117.834723
166,16 Whistler Ct,Irvine,CA,92617,33.635204,-117.840837
167,17 Whitman Ct,Irvine,CA,92617,33.636465,-117.841226
168,519 E Peltason Dr,Irvine,CA,92617,33.643673,-117.837212
169,75 Whitman Ct,Irvine,CA,92617,33.636604,-117.837868
170,8 Russell Ct,Irvine,CA,92617,33.641534,-117.839069
171,4 Dickens Ct,Irvine,CA,92617,33.639441,-117.843168
172,10 Zola Ct,Irvine,CA,92617,33.638049,-117.837329
173,69 Whitman Ct,Irvine,CA,92617,33.636993,-117.838318
174,10 Frost,Irvine,CA,92617,33.639282,-117.834903
175,22 Mendel Ct,Irvine,CA,92617,33.6398,-117.840023
176,9 Virgil Ct,Irvine,CA,92617,33.638332,-117.837612
177,3 Russell Ct,Irvine,CA,92617,33.641105,-117.838961
178,14 Harvey Ct,Irvine,CA,92617,33.636942,-117.842824
179,12 Murasaki St,Irvine,CA,92617,33.64077,-117.834864
180,2 Murasaki St,Irvine,CA,92617,33.641204,-117.835721
181,2 Dickens Ct,Irvine,CA,92617,33.639379,-117.843032
182,14 Zola Ct,Irvine,CA,92617,33.638157,-117.837059
183,22 Newton Ct,Irvine,CA,92617,33.638909,-117.839406
184,4 Murasaki St,Irvine,CA,92617,33.641156,-117.835499
185,22 Harvey Ct,Irvine,CA,92617,33.636773,-117.842153
186,2 Virgil Ct,Irvine,CA,92617,33.638203,-117.838512
187,39 Gabrielino Dr,Irvine,CA,92617,33.64008,-117.83583
188,8 Dickens Ct,Irvine,CA,92617,33.639666,-117.843406
189,18 Harvey Ct,Irvine,CA,92617,33.636909,-117.842437
190,22 Russell Ct,Irvine,CA,92617,33.641245,-117.840099
191,20 Whistler Ct,Irvine,CA,92617,33.635638,-117.840823
192,101 Schubert Ct,Irvine,CA,92617,33.641907,-117.839508
193,201 Gabrielino Dr,Irvine,CA,92617,33.642021,-117.836777
194,75 Schubert Ct,Irvine,CA,92617,33.64238,-117.839439
195,16 Gibbs Ct,Irvine,CA,92617,33.63801,-117.842423
196,27 Murasaki St,Irvine,CA,92617,33.639814,-117.833805
197,2 Schubert Ct,Irvine,CA,92617,33.641259,-117.838827
198,32 Harvey Ct,Irvine,CA,92617,33.635773,-117.84222
199,117 Schubert Ct,Irvine,CA,92617,33.642292,-117.83902
200,6 Owen Ct,Irvine,CA,92617,33.639357,-117.838788
201,20 Curie Ct,Irvine,CA,92617,33.639325,-117.841654
202,4 Twain,Irvine,CA,92617,33.640261,-117.835098
203,9 Alcott Ct,Irvine,CA,92617,33.639677,-117.842375
204,22 Alcott Ct,Irvine,CA,92617,33.639534,-117.841356
205,16 Curie Ct,Irvine,CA,92617,33.639451,-117.842043
206,9 Frost,Irvine,CA,92617,33.638929,-117.835106
207,133 Schubert Ct,Irvine,CA,92617,33.642151,-117.838593
208,119 Schubert Ct,Irvine,CA,92617,33.642113,-117.839299
209,97 Schubert Ct,Irvine,CA,92617,33.642269,-117.839447
210,74 Whitman Ct,Irvine,CA,92617,33.636654,-117.837875
211,14 Virgil Ct,Irvine,CA,92617,33.638661,-117.837833
212,115 Schubert Ct,Irvine,CA,92617,33.642323,-117.839066
213,11 Zola Ct,Irvine,CA,92617,33.637719,-117.837027
214,87 Schubert Ct,Irvine,CA,92617,33.64241,-117.839447
215,137 Schubert Ct,Irvine,CA,92617,33.642113,-117.839299
216,22 Dickens Ct,Irvine,CA,92617,33.638693,-117.841907
217,41 Gabrielino Dr,Irvine,CA,92617,33.64008,-117.83583
218,95 Schubert Ct,Irvine,CA,92617,33.64215,-117.839284
219,23 Harvey Ct,Irvine,CA,92617,33.636458,-117.84242
220,8 Perkins Ct,Irvine,CA,92617,33.640186,-117.838554
221,16 Fuertes,Irvine,CA,92617,33.639612,-117.833967
222,83 Schubert Ct,Irvine,CA,92617,33.642307,-117.839455
223,20 Harvey Ct,Irvine,CA,92617,33.636862,-117.842304
224,14 Perkins Ct,Irvine,CA,92617,33.640245,-117.839083
225,5 Virgil Ct,Irvine,CA,92617,33.638219,-117.837875
226,8 Whistler Ct,Irvine,CA,92617,33.635048,-117.840253
227,18 Mendel Ct,Irvine,CA,92617,33.639777,-117.840435
228,35 Gabrielino Dr,Irvine,CA,92617,33.64008,-117.83583
229,89 Schubert Ct,Irvine,CA,92617,33.642162,-117.839531
230,14 Fuertes,Irvine,CA,92617,33.639685,-117.834138
231,72 Whitman Ct,Irvine,CA,92617,33.636852,-117.838066
232,2 Russell Ct,Irvine,CA,92617,33.641443,-117.838528
233,51 Schubert Ct,Irvine,CA,92617,33.642051,-117.837776
234,16 Alcott Ct,Irvine,CA,92617,33.639791,-117.841042
235,2 Alcott Ct,Irvine,CA,92617,33.640339,-117.84124
236,6 Thompson Ct,Irvine,CA,92617,33.640772,-117.839204
237,8 Murasaki St,Irvine,CA,92617,33.640986,-117.835165
238,24 Los Trancos Dr,Irvine,CA,92617,33.637711,-117.84307
239,5 Fuertes,Irvine,CA,92617,33.639627,-117.8351
240,16 Dickens Ct,Irvine,CA,92617,33.63901,-117.842341
241,16 Newton Ct,Irvine,CA,92617,33.639056,-117.839698
242,16 Thompson Ct,Irvine,CA,92617,33.640452,-117.839867
243,18 Newton Ct,Irvine,CA,92617,33.639031,-117.839534
244,12 Russell Ct,Irvine,CA,92617,33.641538,-117.839424
245,5 Gabrielino Dr,Irvine,CA,92617,33.642187,-117.837236
246,801 Gabrielino Dr,Irvine,CA,92617,33.641575,-117.836304
247,18 Thompson Ct,Irvine,CA,92617,33.640306,-117.839803
248,9 Owen Ct,Irvine,CA,92617,33.639119,-117.838095
249,18 Frost,Irvine,CA,92617,33.639033,-117.834244
250,42 Schubert Ct,Irvine,CA,92617,33.641593,-117.838235
251,901 Gabrielino Dr,Irvine,CA,92617,33.641773,-117.836105
252,12 Whistler Ct,Irvine,CA,92617,33.635221,-117.840511
253,2 Zola Ct,Irvine,CA,92617,33.637625,-117.837661
254,401 Gabrielino Dr,Irvine,CA,92617,33.641788,-117.836823
255,53 Schubert Ct,Irvine,CA,92617,33.64206,-117.837864
256,2 Blake Ct,Irvine,CA,92617,33.640415,-117.841814
257,16 Virgil Ct,Irvine,CA,92617,33.638708,-117.837693
258,40 Urey Ct,Irvine,CA,92617,33.637338,-117.836749
259,107 Schubert Ct,Irvine,CA,92617,33.642284,-117.839455
260,10 Blake Ct,Irvine,CA,92617,33.640448,-117.84226
261,17 Dickens Ct,Irvine,CA,92617,33.638637,-117.842583
262,14 McClintock Ct,Irvine,CA,92617,33.634504,-117.841105
263,12 Zola Ct,Irvine,CA,92617,33.6381,-117.83719
264,10 Dickens Ct,Irvine,CA,92617,33.639738,-117.843567
265,26 Russell Ct,Irvine,CA,92617,33.640942,-117.840087
266,7 Whistler Ct,Irvine,CA,92617,33.635448,-117.839838
267,12 Alcott Ct,Irvine,CA,92617,33.639938,-117.841045
268,105 Schubert Ct,Irvine,CA,92617,33.641991,-117.839699
269,30 Urey Ct,Irvine,CA,92617,33.636925,-117.837331
270,7 Twain,Irvine,CA,92617,33.639882,-117.835681
271,26 Perkins Ct,Irvine,CA,92617,33.639726,-117.838965
272,49 Schubert Ct,Irvine,CA,92617,33.641853,-117.837717
273,20 Mendel Ct,Irvine,CA,92617,33.639837,-117.840251
274,3 Virgil Ct,Irvine,CA,92617,33.638119,-117.837987
275,601 Gabrielino Dr,Irvine,CA,92617,33.641506,-117.836884
276,1001 Gabrielino Dr,Irvine,CA,92617,33.64196,-117.836319
277,10 Alcott Ct,Irvine,CA,92617,33.640009,-117.841014
278,20 Gibbs Ct,Irvine,CA,92617,33.637684,-117.842436
279,15 Whitman Ct,Irvine,CA,92617,33.636593,-117.841034
280,18 Curie Ct,Irvine,CA,92617,33.639425,-117.841835
281,701 Gabrielino Dr,Irvine,CA,92617,33.641533,-117.836609
282,1 Dickens Ct,Irvine,CA,92617,33.638947,-117.843236
283,9 Russell Ct,Irvine,CA,92617,33.641116,-117.839531
284,4 Owen Ct,Irvine,CA,92617,33.639297,-117.838942
285,91 Schubert Ct,Irvine,CA,92617,33.64196,-117.839523
286,9 Gibbs Ct,Irvine,CA,92617,33.638771,-117.843955
287,24 Murasaki St,Irvine,CA,92617,33.640221,-117.833833
288,26 Gabrielino Dr,Irvine,CA,92617,33.642133,-117.837814
289,10 Perkins Ct,Irvine,CA,92617,33.640213,-117.838734
290,18 Whistler Ct,Irvine,CA,92617,33.635531,-117.840964
291,22 Gibbs Ct,Irvine,CA,92617,33.637581,-117.842608
292,9 Dickens Ct,Irvine,CA,92617,33.639338,-117.843787
293,24 Whistler Ct,Irvine,CA,92617,33.635715,-117.840512
294,3 Zola Ct,Irvine,CA,92617,33.637312,-117.837459
295,12 Newton Ct,Irvine,CA,92617,33.639064,-117.839893
296,18 McClintock Ct,Irvine,CA,92617,33.634548,-117.84094
297,7 Zola Ct,Irvine,CA,92617,33.637479,-117.837201
298,7 Murasaki St,Irvine,CA,92617,33.640786,-117.835732
299,11 Frost,Irvine,CA,92617,33.638904,-117.834907
300,22 Murasaki St,Irvine,CA,92617,33.640318,-117.834079
301,16 Perkins Ct,Irvine,CA,92617,33.640232,-117.839281
302,123 Schubert Ct,Irvine,CA,92617,33.642265,-117.838974
303,1101 Gabrielino Dr,Irvine,CA,92617,33.642174,-117.836479
304,28 Harvey Ct,Irvine,CA,92617,33.636436,-117.841813
305,81 Whitman Ct,Irvine,CA,92617,33.636669,-117.838123
306,26 Mendel Ct,Irvine,CA,92617,33.639453,-117.839889
307,6 Zola Ct,Irvine,CA,92617,33.637919,-117.837605
308,8 Curie Ct,Irvine,CA,92617,33.640117,-117.843101
309,14 Blake Ct,Irvine,CA,92617,33.640434,-117.84244
310,24 Newton Ct,Irvine,CA,92617,33.63886,-117.839336
311,37 Gabrielino Dr,Irvine,CA,92617,33.64008,-117.83583
312,7 Alcott Ct,Irvine,CA,92617,33.639771,-117.841769
313,4 Russell Ct,Irvine,CA,92617,33.641467,-117.838698
314,11 Russell Ct,Irvine,CA,92617,33.641087,-117.839687
315,15 Fuertes,Irvine,CA,92617,33.639323,-117.83428
316,6 Murasaki St,Irvine,CA,92617,33.641071,-117.835326
317,12 Virgil Ct,Irvine,CA,92617,33.638613,-117.837959
318,16 Russell Ct,Irvine,CA,92617,33.641544,-117.839791
319,70 Whitman Ct,Irvine,CA,92617,33.636932,-117.83815
320,14 Curie Ct,Irvine,CA,92617,33.639515,-117.842226
321,6 Urey Ct,Irvine,CA,92617,33.638255,-117.839239
322,10 Owen Ct,Irvine,CA,92617,33.639452,-117.838477
323,3 Dickens Ct,Irvine,CA,92617,33.63903,-117.843369
324,5 Russell Ct,Irvine,CA,92617,33.641117,-117.839173
325,20 Dickens Ct,Irvine,CA,92617,33.638803,-117.84203
326,20 Russell Ct,Irvine,CA,92617,33.641414,-117.840122
327,15 Dickens Ct,Irvine,CA,92617,33.638714,-117.842755
328,4 Urey Ct,Irvine,CA,92617,33.638255,-117.839239
329,63 Schubert Ct,Irvine,CA,92617,33.641823,-117.83947
330,20 Murasaki St,Irvine,CA,92617,33.640398,-117.834236
331,25 Murasaki St,Irvine,CA,92617,33.639895,-117.833981
332,10 Virgil Ct,Irvine,CA,92617,33.638613,-117.837959
333,9 Fuertes,Irvine,CA,92617,33.639512,-117.83477
334,46 Schubert Ct,Irvine,CA,92617,33.641736,-117.838187
335,28 Perkins Ct,Irvine,CA,92617,33.639785,-117.838796
336,6 Russell Ct,Irvine,CA,92617,33.6415,-117.838897
337,14 Alcott Ct,Irvine,CA,92617,33.639869,-117.841058
338,15 Owen Ct,Irvine,CA,92617,33.639249,-117.837791
339,8 Frost,Irvine,CA,92617,33.639323,-117.835086
340,2 Fuertes,Irvine,CA,92617,33.640069,-117.83517
341,12 Gibbs Ct,Irvine,CA,92617,33.638154,-117.842767
342,129 Schubert Ct,Irvine,CA,92617,33.642242,-117.838615
343,30 Los Trancos Dr,Irvine,CA,92617,33.637163,-117.843125
344,8 Fuertes,Irvine,CA,92617,33.639876,-117.834613
345,18 Handel Ct,Irvine,CA,92617,33.635293,-117.841349
346,4 Zola Ct,Irvine,CA,92617,33.637793,-117.837725
347,16 Murasaki St,Irvine,CA,92617,33.640568,-117.834564
348,12 Eliot Ct,Irvine,CA,92617,33.635437,-117.842016
349,8 Zola Ct,Irvine,CA,92617,33.638,-117.83746
350,8 Alcott Ct,Irvine,CA,92617,33.640158,-117.84109
351,525 E Peltason Dr,Irvine,CA,92617,33.643708,-117.837191
352,11 Owen Ct,Irvine,CA,92617,33.639184,-117.837942
353,32 Twain,Irvine,CA,92617,33.63865,-117.834919